职位名称,薪酬,城市地区,工作经验要求,学历要求,关键词,公司名称,规模类型,公司标签
客服专员,6-8千,上海·浦东新区,2年,本科,"五险一金
做五休二
带薪年假
绩效奖金
全勤奖
节日福利
加班补贴
通讯补贴",中国财政经济出版社培训中心,国企  |  50-150人,教育/培训/院校
高中A Level经济教师（宝山世外）,18-30万/年,上海·宝山区,3-4年,硕士,"高中
双语授课
教师资格证
五险一金
绩效奖金
餐饮补贴
定期体检",上海世外教育服务发展有限公司,民营  |  1000-5000人,教育/培训/院校
招商部高级经理,8.4千-1.4万,上海·浦东新区,2年,本科,"五险一金
补充医疗保险
补充公积金
绩效奖金
定期体检
企业年金
物业管理
工程预算
合同审批
审查
停车管理
园区维修
编制部门预算
零星维修
制度修改",上海世博经济发展有限公司,国企  |  少于50人,房地产
会计经理/会计主管,5-6千,海口,3-4年,本科,"会计
汽车
五险一金
员工旅游
绩效奖金
年终奖金
弹性工作
专业培训
餐饮补贴
生日假
购车福利
节假日津贴",壹诺之家（海南经济特区）汽车销售有限公司,民营  |  50-150人,汽车
市场助理,5-7千,上海·浦东新区,1年,本科,"五险一金
绩效奖金
年终奖金
专业培训
节日福利
做五休二",中国财政经济出版社培训中心,国企  |  50-150人,教育/培训/院校
工程经济,1-1.7万,成都·锦江区,5-7年,本科,"五险一金
餐饮补贴
定期体检",成都市市政工程设计研究院有限公司,国企  |  150-500人,计算机软件
体育理论专业专任教师,5-8.5千,海口·美兰区,1年,硕士,"教学
心理学
体育
科研
体育老师
大学教授
周末双休
五险一金
免费班车
节日福利
餐饮补贴
定期体检
年终奖金
绩效奖金",海口经济学院,已上市  |  1000-5000人,教育/培训/院校
经济总管（青岛）,3-4.5千,青岛,3-4年,中技/中专,"包住宿
绩效奖金
节日福利
专业培训",武汉华工后勤管理有限公司,民营  |  5000-10000人,餐饮业
双语老师（物理、经济、科学、化学、数学、生物）,1.5-2万,宁波·鄞州区,3-4年,本科,"五险一金
节日福利
法定节假
团建活动",上海渊学通教育科技有限公司,民营  |  150-500人,教育/培训/院校
经济管理学院品牌推广与信息化办公室助理,5-6千,北京,2年,本科,"宣传
品牌推广
编辑
photoshop
文化建设
宣传册
公众号
推广
五险一金
绩效奖金
定期体检",北京航空航天大学经济管理学院,事业单位  |  500-1000人,教育/培训/院校
业务员,5千-1万,武汉,1年,大专,"餐饮补贴
年终奖金
交通补贴
五险
意外险
周末双休
销售
业务员
客户代表
销售代表",武汉瑞祺经济发展有限公司,民营  |  少于50人,贸易/进出口
土建造价主管/经理,1-2万,武汉·黄陂区,3-4年,本科,"节日福利
年终奖金
生日福利
带薪年假
五险一金
定期体检
专业培训
包吃",湖北南德经济发展集团有限公司,民营  |  150-500人,房地产
会计专员,4-5千,海口,1年,本科,"会计
汽车
五险一金
员工旅游
绩效奖金
年终奖金
弹性工作
专业培训
餐饮补贴
生日假
购车福利
节假日津贴",壹诺之家（海南经济特区）汽车销售有限公司,民营  |  50-150人,汽车
融合课程高中经济学教师,10-20万/年,镇江·句容市,1年,本科,"双语
经济教师
五险一金
绩效奖金
定期体检
餐饮补贴
通讯补贴
交通补贴
专业培训
年终奖金",句容碧桂园学校,民营  |  500-1000人,教育/培训/院校
数据文员无责底3K+提成（包住宿+社保）,6-8千,长沙·开福区,1年,大专,"客服
文员
数据
资料员
行政
文职
包住宿
五险一金
绩效奖金
节日福利",东莞市易顺经济信息咨询有限公司湖南分公司,民营  |  150-500人,专业服务(咨询、人力资源、财会)
双语经济学老师,1.5-2万,广州·白云区,1年,本科,"经济学
双语
英语
教师
老师
高中
五险一金
绩效奖金
餐饮补贴
节日福利
带薪年假
专业培训
住房补贴
包住",藤达国际教育科技（广州）有限公司,民营  |  50-150人,教育/培训/院校
工程经济类工作人员（1名）,25-40万/年,上海·静安区,3-4年,本科,"五险一金
补充公积金
交通补贴
餐饮补贴
通讯补贴
年终奖金
定期体检",中铁上海设计院集团有限公司,国企  |  1000-5000人,建筑/建材/工程
营业-日语-张家港经济开发区,7千-1.2万·13薪,张家港,2年,大专,"五险一金
年终奖金
带薪年假
定期体检",上海提浜克企业管理有限公司,合资  |  50-150人,专业服务(咨询、人力资源、财会)
农业经济管理教师,7-10万/年,德阳,2年,本科,,德阳农业科技职业学院,民营  |  150-500人,教育/培训/院校
销售主管,6-8千,广州·海珠区,2年,中技/中专,"销售
五险一金
绩效奖金",广州市世纪兆业经济发展有限公司,民营  |  500-1000人,多元化业务集团公司
国际商务（英语）,1.3-1.8万,上海·浦东新区,2年,本科,"商务英语
合同签订
领英
开拓国际市场
现场口译
商务谈判
外语听说
中外互译
商务沟通
口译",杭州链杉经济信息咨询有限公司,民营  |  少于50人,金融/投资/证券
教育培训销售代表,3-5千,济南·历下区,2年,本科,"五险一金
绩效奖金
年终奖金
出国机会
通讯补贴
交通补贴
定期体检
业务拓展",中国电子节能技术协会低碳经济专业委员会,非营利组织  |  少于50人,环保
销售经理,5千-1万,武汉,1年,大专,"商务助理
业务助理
销售
年终奖金
五险
意外险
周末双休
包午餐
餐饮补贴
交通补贴",武汉瑞祺经济发展有限公司,民营  |  少于50人,贸易/进出口
专升本各科目教师（语文、数学、经济学、思政）,6千-1.2万,福州·仓山区,1年,本科,"授课
讲义
课程内容安排
课程ppt
出试卷
教学研发
磨课
试卷分析
五险一金
员工旅游
专业培训
弹性工作
定期体检
绩效奖金
通讯补贴",福建梦飞众创教育科技有限公司,民营  ,教育/培训/院校
销售经理,1-1.5万,广州·海珠区,5-7年,大专,"销售主管
销售
营业
营销
HR
人力资源
绩效奖金
五险一金",广州市世纪兆业经济发展有限公司,民营  |  500-1000人,多元化业务集团公司
产业经济与项目研究策划事业部-总策划师,20-30万/年,重庆·渝北区,5-7年,本科,"五险
员工餐
节日礼物
定期体检
岗位晋升",重庆浩丰规划设计集团股份有限公司,已上市  |  150-500人,建筑/建材/工程
化学分析员（肥东循环经济示范园）,4.5-6千,合肥,无需经验,本科,"奖金丰厚
加班补助
全勤奖
交通补助
房补
节日福利
提供班车
五险一金
定期体检
员工旅游
免费班车
餐饮补贴
绩效奖金
年终奖金",安徽久易农业股份有限公司,民营  |  150-500人,石油/化工/矿产/地质
项目经理（经济发达区域回家之路）,15-20万/年,株洲,5-7年,大专,"项目经理
绩效奖金
年终奖金
交通补贴
通讯补贴
补充医疗保险
餐饮补贴
专业培训
员工旅游",湖南云蝶软件有限公司,民营  |  50-150人,计算机软件
经济总工,8千-1.2万,哈尔滨,10年以上,本科,"土建造价
安装造价
包吃
节日福利
加班补贴
年终奖",哈尔滨天源石化工程设计有限责任公司,民营  |  500-1000人,石油/化工/矿产/地质
销售店长/门店店长,4.5-6千,广州,2年,大专,"销售主管
销售
营业
营销
门店店长
销售店长
绩效奖金",广州市世纪兆业经济发展有限公司,民营  |  500-1000人,多元化业务集团公司
博士,2-3.5万·15薪,长沙,无需经验,博士,"大数据
人工智能
仿真应用
新能源
智库
数字转型
高性能计算
五险一金
交通补贴
通讯补贴
餐饮补贴
年终奖金
双休
专业培训
定期体检
生育补贴
舒适办公环境",北大计算与数字经济研究院,事业单位  |  150-500人,计算机软件
招生助理,7千-1.3万,深圳·龙岗区,2年,本科,,深圳数据经济研究院（香港中文大学（深圳）数据经济研究院）,事业单位  |  少于50人,学术/科研
客户经理,5-8千,重庆·渝北区,2年,本科,"客户经理
产业咨询
产业地产
前期策划
五险
周末双休
定期体检
朝九晚六
生日福利",重庆中经产业经济研究院,非营利组织  |  少于50人,专业服务(咨询、人力资源、财会)
法语翻译,2.6-2.9万,太原·杏花岭区,3-4年,本科,"翻译
弹性工作
通讯补贴
包三餐
交通补贴
出国机会",中国山西国际经济技术合作有限公司,国企  |  10000人以上,政府/公共事业
销售经理,1-1.5万,广州·海珠区,2年,大专,"销售主管
销售
营业
营销
HR
人力资源
绩效奖金
五险一金",广州市世纪兆业经济发展有限公司,民营  |  500-1000人,多元化业务集团公司
技术经济/概预算,6千-1.2万,重庆·渝北区,2年,大专,"周末双休
带薪年假
五险一金
交通补贴",重庆笃信电力工程有限责任公司,民营  |  50-150人,电气/电力/水利
市场经理,1-2万,上海·静安区,3-4年,本科,"经销商
房地产
五险一金
专业培训
出国机会",仲信智造（上海）经济发展有限公司,民营  |  少于50人,专业服务(咨询、人力资源、财会)
法语翻译,2.6-2.9万,太原·杏花岭区,3-4年,本科,"翻译
弹性工作
通讯补贴
包三餐
交通补贴
出国机会",中国山西国际经济技术合作有限公司,国企  |  10000人以上,政府/公共事业
销售代表、业务员（高提成）,6千-1.2万,珠海,无需经验,大专,"跟单
商务司机
商务助理
包吃
包住宿
节日福利
专业培训
交通补贴
通讯补贴
绩效奖金
五险一金
做六休一",珠海经济特区威特发装饰材料有限公司,民营  |  少于50人,建筑/建材/工程
标准专家/标准工程师,1.2-2.4万·15薪,长沙,3-4年,本科,"五险一金
交通补贴
通讯补贴
餐饮补贴
年终奖金
双休
专业培训
定期体检
生育补贴
舒适办公环境",北大计算与数字经济研究院,事业单位  |  150-500人,计算机软件
物流管理专任教师,5-8.5千,海口·美兰区,1年,硕士,"教学
国际物流
冷链物流
物流管理
大学老师
周末双休
五险一金
免费班车
节日福利
餐饮补贴
定期体检
年终奖金
绩效奖金",海口经济学院,已上市  |  1000-5000人,教育/培训/院校
法语翻译,2.6-2.9万,太原·杏花岭区,3-4年,本科,"翻译
弹性工作
通讯补贴
包三餐
交通补贴
出国机会",中国山西国际经济技术合作有限公司,国企  |  10000人以上,政府/公共事业
二级学院党总支负责人,10-13万/年,上海·崇明区,5-7年,本科,"五险一金
免费班车
专业培训
定期体检",上海外国语大学贤达经济人文学院,非营利组织  |  500-1000人,教育/培训/院校
碳足迹核查,1-2万,北京·朝阳区,2年,本科,"温室气体
碳足迹
碳排放
全生命周期
碳中和
五险一金
绩效奖金
年终奖金
出国机会
通讯补贴
交通补贴
定期体检",中国电子节能技术协会低碳经济专业委员会,非营利组织  |  少于50人,环保
数学专业专任教师,5-8.5千,海口·美兰区,1年,硕士,"教学
高等数学
数学建模
计算数学
应用数学
大学老师
大学教授
周末双休
五险一金
免费班车
节日福利
餐饮补贴
定期体检
年终奖金
绩效奖金",海口经济学院,已上市  |  1000-5000人,教育/培训/院校
销售经理、销售主任、销售主管、销售顾问,1-1.5万,广州·海珠区,1年,大专,"销售
销售管理
服务行业
快消品行业
绩效奖金
五险一金",广州市世纪兆业经济发展有限公司,民营  |  500-1000人,多元化业务集团公司
海外项目计划工程师（印度尼西亚）,2-3万,成都·武侯区,3-4年,大专,"出国机会
年终奖金",四川鹏捷国际经济技术合作有限公司,民营  |  50-150人,外包服务
Alevel经济学老师,6千-1.2万,郑州,3-4年,本科,"五险一金
专业培训
绩效奖金
年终奖金
定期体检
员工旅游
每周双休
带薪年假",郑州市金水区新航道外国语培训中心,民营  |  150-500人,教育/培训/院校
项目招商总监,1.5-2.5万,孝感,10年以上,本科,"绩效奖金
节日福利
专业培训
五险
包吃
加班补贴
产业地产
招商管理
招商
管理",湖北总部经济投资有限公司,民营  |  50-150人,房地产
销售主任,1-1.5万,广州·海珠区,2年,大专,"销售主管
销售
营业
营销
HR
人力资源
绩效奖金
五险一金",广州市世纪兆业经济发展有限公司,民营  |  500-1000人,多元化业务集团公司
工程师（经济作物生产机械）,1-1.7万,广州·天河区,1年,硕士,"机械工程师
工业工程师
五险一金
绩效奖金
年终奖金
定期体检",广东省现代农业装备研究所,事业单位  |  150-500人,农/林/牧/渔
商务英语经理,2.5-3万,上海·浦东新区,5-7年,硕士,,杭州链杉经济信息咨询有限公司,民营  |  少于50人,金融/投资/证券
旅游管理专任教师,5-8.5千,海口·美兰区,1年,博士,"周末双休
五险一金
免费班车
节日福利
餐饮补贴
定期体检
年终奖金
绩效奖金",海口经济学院,已上市  |  1000-5000人,教育/培训/院校
期刊编辑,7-8千,上海·黄浦区,2年,本科,"编辑出版
编辑
编纂
组稿",上海经济年鉴社,国企  |  少于50人,文字媒体/出版
外语策划编辑,8千-1万,北京·朝阳区,1年,硕士,"外语
英语
出版
编辑
策划编辑
五险一金
绩效奖金
年终奖金
定期体检
带薪年假",北京对外经济贸易大学出版社有限责任公司,国企  |  50-150人,文字媒体/出版
国际高中A Level经济老师,1-1.8万·14薪,上海·闵行区,2年,本科,"数学
国际高中
经济
五险一金
交通补贴
餐饮补贴
周末双休
做五休二
带薪年假
节日福利
通讯补贴
年终奖励
双语学校",上海德英乐教育投资有限公司,民营  |  500-1000人,教育/培训/院校
