职位名称,公司名称,薪酬,城市地区,学历要求,工作经验要求,发布时间,公司规模,公司福利,公司类型,公司标签,工作地点,职位描述或任职要求,规模类型
风险管理总监,旭兆（上海）房产管理咨询有限公司,2-3万,上海-静安区,本科,5-7年经验,03-07发布,1000-5000人,绩效奖金,"民营  </p><p data-v-0ac984f9="""" class=""int at"">保险</p><button data-v-0ac984f9="""" track-type=""searchTrackButtonClick"" event-type=""99"" trace-name=""申请职位-职位下"" class=""p_but""> 申请职位 </button></div></div><div data-v-0ac984f9="""" sensorsname=""JobShortExposure"" sensorsdata=""{&quot;pageCode&quot;:&quot;sou|sou|soulb&quot;,&quot;shortPageCode&quot;:&quot;sou|sou|soulb&quot;,&quot;requestId&quot;:&quot;30d823e65965ee4b74988c70d65e99a7&quot;,&quot;policyType&quot;:&quot;搜索&quot;,&quot;jobRank&quot;:17,&quot;jobId&quot;:&quot;146608555&quot;,&quot;pageNum&quot;:5}"" class=""e sensors_exposure"" style=""overflow: visible;""><div data-v-0ac984f9="""" class=""e_icons ick""></div><a data-v-0ac984f9="""" href=""https://jobs.51job.com/foshan/146608555.html?s=sou_sou_soulb&amp;t=0_0&amp;req=30d823e65965ee4b74988c70d65e99a7"" target=""_blank"" class=""el""><div data-v-0ac984f9="""" class=""t"" style=""display: flex; align-items: center; height: 25px;""><span data-v-0ac984f9="""" title=""项目管理"" class=""jname at"">项目管理</span><span data-v-0ac984f9="""" class=""time"">03-07发布</span><div data-v-37a58ac8="""" data-v-0ac984f9="""" class=""chat""><div data-v-37a58ac8="""" class=""chat-img""></div><span data-v-37a58ac8="""">立即沟通</span><div data-v-37a58ac8="""" class=""chat-detail""><div data-v-37a58ac8="""" class=""chat-detail-position""><div data-v-37a58ac8="""" class=""arrow""></div><div data-v-37a58ac8="""" class=""detail""><img data-v-37a58ac8="""" src=""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAFAAAABQCAYAAACOEfKtAAAAAXNSR0IArs4c6QAAAERlWElmTU0AKgAAAAgAAYdpAAQAAAABAAAAGgAAAAAAA6ABAAMAAAABAAEAAKACAAQAAAABAAAAUKADAAQAAAABAAAAUAAAAAAx4ExPAAATOElEQVR4Ac1cCXhT15X+nyTbsmVZNsbGGC8YG2MWAzYOW8zWEoY0hNBOEzJkAgn5aBaylQQnaWY6k6ZpWRoIdKYNbb9AaEM6YUjTpqF8nQzQj2xN2HeCCcTYBrzvsqzlzTlPiyVre096MnO+71r3nXvOuff+79z9Pgu4mfSzw0Nh15YBjjFUDAriGIjIAgQjxSnwL5PYSXEK9CvgOsUvEJOC5gK09mN4tqJJErsJf4RBzXPT1UTYG+bDgW8QUPMIjIkQxejKIAgi2TpJtg5Ag/3QZn6INbnmwapXdIWXU0oG6NVjs2B3LKeK3k0qKXLUopDpIDB3Q6vZiWfKDoEBjiHFDsCtFxPQ0/EABHEtAVcYwzoENy3gEkRhI5JSduDJ0ZbggpGnqA/g9st6NLQ8QkUi4MTsyIumoqYg1JO1jcgc8joeLOhV0TI5u5q07vAdZPHn5HEFcs3qW+tgqv4MhtozSGith8ZqhqhLgEMXD0d8IrqHl6Bz5GR05peTM0VZXAGXqWxP4PmKD+SWL5xclCVymX/1VC5slq1UuCXhMnSnJzZeRvahHTB9+YmbFfLXmpKJpokL0VS+GNYkU0jZsIkC3oMu4Uk8U3o1rGwYgegBXH94CbnGGzTFSAuTlyc5/fSHyNu3GYKtz8OTG3HE6dFYfhduTL8HtsRoxiOhlfrnlXiu4j25eQeSixzAd87E46veDQTcU4EMB+MNPbEXeX/ZHCxZNt+RYED9rOUSmKJGK1vPX1DYglH6KtwzXvnbJGORAfiLk2no6PsT6Vf6Fyg4J+n6RYz57VMQ7NbgQgpTeofmo2bh0+jKmaBQ00f8I6TEL8ZjE1t9uDIelAO46fgIWG37qL9TXOKSN59A0rXzMoqlUIQGl4Zbvov6OQ/CoY1TqOwSF3AacbqFWDO5TokBjRJhbDg2Glb7x5GAl/L1sdiAxxUQRWR+vhslO1ZD31KrqEoeYXYIrhvXUQHJ98D1R2lOJ35Chc1XYB9aay/Szu7HsM/3IKG5RolqRLIOvQGX73wB7YXTItKnlcvX1LPNxHPlPHcMS/IA3HwsFX32Q0o8TxAdyDj6PoYfehPaXtoHGEyiJn31tidogLkzsly5OcdrZ+H7ZW3hDIQHcNvhOLQJ/0ueNyucMXe6ztKNgj+8DOOVI27WTfmtnb8aDRWyp6a+ZRSEQ0gVv4mHK0KOeOH7wDasUwKexmrB6F1rbzp4jEbOh/+J1IvyJuq+6NETOwzXPQyFBnD90cXUbNeEseGTnL/3VSTeuOjDu5kPXJ74rubIisB133gkZD8QHMD1J3Joo3O7kpyT684g7dwBJSphZbUaDcrH5WLFXTOw6u5KFOZmhNXxFtCaO5D10e+8WcriDnEHJCwCq+kCs4kr2l6jv0OCpgdIyPr4rQBc5SytRsC0yUX41txyzKqcguS0dEBLRXXY8ciqHry/9yC2vLEXrR09soynn9onzREjWvqJjIGExXcDZRZ4ENlwZCEc4l8CKQTjaWhdO2nzkqCrjOllowmU0SguzEHG0CG03ynAYrWi19yL6w3NqLvWgua2DuRlZ2L+nHKkZw0HLfiDZYf2lmb87LWd2HvweFAZ74Sa27+Ppknf8mYpi2uE21E1Zd9AJX8AnRuhp8kFiwYKh3o21pygweNZPxF96hC8/qOVKJ04jo4wolmz+pnmjh4fHfoUP3nt97jR1B5AoJ/VNHkRLfkULdv7laWYUE0bsxMGbsz694HmjlVKwWP7CW3XBmRIjwTYj//9UZROLlUfPM6N5nuVs2di945X8J3bZ4Rc2PPeYnREDiVh42vFF0Ce84m0BR8Bafr8N3oTJkzHPGq2sSZDihEvvvAwtm95FqVj8gJm15uhaAEV0IaEDWPkRb4Atmvup7TAJfBSChQVRJsfe9GC6eR5/r2En6AqDAGlZaXY8foPsX3T0zAk6X2sRrzJ4GOFsHFi5OH6Aig6qjwpCiN9Rv/pxf0zVHjrCssB2o2ZOGUyDVYjfDStBkUTCh9dn4cBGPUDuPHoDJo08wF3RNRnyvLRE+L1yM0w+fAG7YH6xrElvgeBfaZh6mTPGDFWLuoH0O7g5hsxmTMLwdvtbtInJ7ujN+V34nivSYSgQR+dqahGXlg5AeTteQFLo8nAQRPdrvxJHhM6ncpTFo9leZHyySXU/Tr7X24d0W37D8iTsWLMiJwAXjHPpeYbdSfRWjLXk5Pd7vDEb0YkfYgJI0flSln3DqFVqZrEWDFmRE4ARbqrogK1lsyGXW+ULPX1RXRGo0Ip+k1YRWf1LGoDyFm4MHMBKKgCIB+GN1bcJdXAZonJTYp+dGTEWmhpyNQ71OmJMlTki4hOzDRYd9hE56Pl8jVDSzZU/CP4yBE0sbZa/eeGobXVTTW3t0u3HDpGTlHXMFtjzAg7DXSaSeSOqvX4Nn0yrk9zjkdXGkKvT9WvVb/FxsZW2ryxo27uSlhSaWNCbWLMCDsNbHSpUUUy6EQUL7gDNkMa/nbuuoqWlZmqrmuCeVgRGqd8W5miEmnCTkeuyLdCVaND05tQlmLFI8f/AX/77BRuGRaHbdvfQ319I+0taJBESyyTKRkpydTMKWO7nQIdQFksVujjdJhSNhZTp4xD4SjnyHn5Sh2+OHpOCj209ZUQHyfZieNpEk1Tujp70Nbeie6eXrJlx/BhQ/Hwyu9g//kWpC64Gz8s7sJPq43oU7GOHrAIOwHrj7xPi+RFHmYUkWy9A3XfcHpddU0Dlq/+CSztrcjPG45fbFqLrEzaGA1BnV09+Pm23djzx/3QJ9DUlNbRZrMF82ZNwYtrH0RaqnOED2aitb0Lz/xgC06c+pJ2nlLwwX9tRIpBj5mfDMWnbdK0LZhqhHzhfR05gUprHCBJ0/+ai/IyodcnoGz0BGRmDgkLHtfAmJyEb86pkADstfRPg2ZXloUFj/XTyLOnThlLXqpD/qh8CTzmW6O8Rcw2glAW7ZPzZW51qMXqu/NSOY/Op1cswFPPb5KdAV945ib85KNLkWI04Ffb/yBblwUvX7mGdS+thinFuZS0EXjnuqiasSAByRpawqm2aG2xatBgcU4tubz3L5oJgyERudnDcPFSrawqXPqqDk8/di/GFo/EiOEZeGDZHaR7VZZuc2s74qgfdYPHSic74tBt932xsozJEhKNGnrhqnkg57mjNsmT9eg85xbXPy9diJ1vf+Dhh4pc+foaxozu3wYrGDkCDTQlkUNv7/4rlt29wEf0y27VZmg+dqUHwo5GYf5MoL/v8pdSxvn1VQOqCrt8lHhEdThE7HjrzyjIH4G0NCPiaTTlbB0OB5qa2uhQqRGXLtdi4vhCH11+mFdZjh+89EvaonJ6ZWYGHUpptTwIo6/PivaObtSTfm19A8aVFPjo15hjCCBhR6Pw4RryQlXXOhfmNKDY4LsK4YqePFON7i4zXYKyQSRANXTmGx8XB31iPA0ARozIzkBiYv+WmDcSvTQaM0BtHV0w91jQRyd6DD6P1DqdDsnUVUwYW0gDl+9o+9iZVPzy6/5W4W0z6jhdwaFRWPoCKGpb3gYONsf7AcgeV0FzvEhJn5iAokLl77k6pk1Y6KRBRPRtb5HW0Evv83ZfL/BKGvTo2ViNwFJNRAJQRIDzyOjq+XHL/w8Af0P9cV1vDPtA4LqGtm0vRAeXv/b5bh34zb9dH+1ZrL9tuZxFh9Ox6pRJrnhkcoQdzTAZQPVGYXdJZn6agU6aWJeZbCgxhLxi51ZR7dfqEHBwUFqBcIFmvep7ICPRTuDxpv7ehgTVgJFr6O/UB3fbYjV59i4FA2iIP0GrkZi5yJ9uDD6A+xoHoQ9mzAg7DVaPp1FY+MIbVzXjh1oSUBvLyWyAwv75RuC5ZADRKFiEGWHnOhMR90dhKaQqN+PfXYvRRDZAzic648Ah5iQ6MXMCKNCX3jEkXgnwrshg0I+rVdsbCV1cF2ZOAKdO4S+7G0JrRJ7K69E912PfrP5ITfe/rw3C1ImxYsyInADOE3jhuityiMJrvnTRGFMvrO7R4qGTqeELoo7ELjgxcwHIRgXxt+rYDmyFNzV/Tf9zIibEd6dPGtFM+5GDQl5Y9edYVXGUmvHJWBbgZfJC2Pu36lXJi9cA7bWx23UeWEjGiLFyUT+AzBCEde6EWPy29tFA0l5PCx8em1WiDrJHh/gmre/2mUrW/c0MwMgXwJFl7xCK1f5a6nCkkZiaGzpuqANiZyOdGJmlTyAydTFbC3hVnrCRMOpn+QJ4j2CPpReScRq2aHeEm3EHbQJF8Mm/s+jUbrubCLxuskfLebKZkzAIALL3MUZe5AsgJ0wte5PqedpLRrUod1d2DS2z+KMZ3s/vJg/qbiGmgsqLVP4eOiOhz2j5Oq/0QjRxyNcrsBFJjRgTxmYA+QPIw7MgPDZATrXHXgd5oECBPZF/2Ru7m51AWujLI0egvozAttFtr166bcXNlj2XPU+y4/TAwkSVB6eBNWZMXFMX7ySqQQD6n1/VYP73RlHKpACpilg6arWFegtmp9lwb44Dc0zt0PJpEF27lQCQfumZyUFexJ5lJSClX+rfON5HgUHj/lOSZ122wS/BGR9ujKf/4pGBFK0DNjor6aTdGPZ4lWgn/XePLYFs0esLQkmaZ2F2LKBS+N4eDyIejP3aBCuyLTfoTkySFHRaqrjoem+MG9dy4C8bc/M4wnEmD8/56P2cobFiVZGOroLQ52O9Fhy3mvDE5yp4Jf+3uETCIgjR6wtCT5ZTW8EyKnVUc47l88qQnZ0tZaKhHUINNz3uA7n/Elxx6Zf7M3qW0r3ibnnvNEmfZUnOZUtLp7M60So5ZmZmBpZWFAWpmBK2VPdlcGIRUDE4gCz+XMUBess/Cqgpg1lgioeRTtOmTp2K4uJimHT0LqRmR5XnpufuBxkcN9/Nk/o38lTp2SvdLcegS82XmzEHHfRiL3JyciivMcgwJmJoIslEQ1x3xiAEhQaQFavKXyYQ94awETRp6nCDlCZQf1VQUICS8mn0AW2e08skj3J5Gh2S00m5i89e5Yqzd7GXMYh09ivx3WnMk9JYhuJDcpFTPAnDhvX3ODOynfkHLWCoBK4z1z0MhQdQIDdOlf7v39/D2PJLvjXHd2tJl0D7ggXTgeK5gImatQcMAkFqxgSED2/As9tT3TL8a6TLZaNnk90Z0Cb4rrXn5EV4a0UQPpPqzHUPQ+7uOYwYJf/HuXR0dX9EsZLwwk6JUyvHYUKGb6W8dR3mNmgaL9Hyjk9WFY6ZyZlAZhFgCH7n8FSjGRPfOOudpZz4ebrmUInHx9LcKjzJB5BtSZ++2/5Kk+Cx4Uznp8TjyqOl4cSkdButZcXmK4hrq3HO94JpcVNNzYGYXgDB9TlFMFE3v2jbaVxqozmkHBKEc9RXLMBzk2rliLNM+CbsbYkNx+kraaj7zJsdKF411XkzK1DaQJ6OvquLo/8TKJbMR19eBexG8i5pjuKSTDTBkV1K6QuAERNlg8faa25hWzKI68R1UwAeW1UGIGusGU+Xj+n/qQBB76vNSHfg24XJ0p1lVpFLAo2q8abh0I6chu68mdi27zCuGcnZi2ZDkz6SBlvqKxWQlS4g3ZmXgDVjBZjiQnYRH0h14ropJGVN2Nu4SJ8BbTjyIrH+jbovalvAqCQH1pal4Hu3FkvfqfHtKf5iKY5uYPF1NLnU1d6C+x94CDU1NUhNTcWO32xDbgH1dzLJZrNJ+XKeCQnOY9UuuqC+/Yuv8Ma5bhxvc/mNAN4YeIn+F8Ir1KrCDhiBso8cQJe1rM1fzF2cr9u1bMKw4bOLsqgc/iYt9NUS36Dna2jx8bSZEIJ6e7qx9N5/Qm1dnUfKYDDgnd/vQlZ2joc3MCLS5gTnwS+M43q9PuhLu3ijFbtP1l/bfcm87PijtxwcaEvJs39tlWi7ZKnAQym6nsKDFALa5MqZzXQ3kJoVA8mg8P1Ab2KPXbFiBc6e9R8509PT8e677yJ5wGe0DBbbdH+bx97u9jpv215xbsvbKVTRy5Y10nrp+kV9a+CXLI9BBWmi8BBJV1I4EUiLmxNXngOD2dTUhJaWFlq30gjMW1tEW7duDQgepzU3N6OqqkqSZXlupqzb1dVF35hYPC8lDHhctkouqxrgcbkCegsnREpUOe7s7qPwAoWgc0auPHskV549kQFZvJj+05QLzED5s9yePXvoinCalEwgSM2Uu4Uwfex5UvgphbdIh/s91UgVD/QuDReQwk7ijadwD4XD3unuOPdRDERGRgZ9uWSSBovbbrvNnRzwl5s3y3MzZX3uBhITE0OBx3lzGcZzmdQGjwupugey0YFEXjWBeMspsGc6t2YGCtFzT08PNm7ciAMHDqCzs9MjwR5233334fHHH/fwQkTolAlvUWDAYrKz7p236h7obdwd54pQqKLnXAq3UvhXCgco9FLwEO8ZLlmyRGraHiZFeJAoLQ26qmEbbIttsu1czmswwKO8BscDOaNARJ6pb++xjneI9jHU9Y3p7u4a8y/Pr81qbWkxkryRQEhmPZLrSkpK7nxl44bOIWnp10n2AnV/FzSC9oIpKe4Myfm8iEB5xYr3fwhNyOCVZit/AAAAAElFTkSuQmCC"" alt="""" class=""detail-img""><div data-v-37a58ac8="""" class=""detail-info""><p data-v-37a58ac8="""" class=""detail-info-name""></p><p data-v-37a58ac8="""" class=""detail-info-job""><span data-v-37a58ac8="""" class=""detail-info-job-posi""></span><!----></p><div data-v-37a58ac8="""" class=""detail-info-tag""><!----></div></div><div data-v-37a58ac8="""" class=""detail-download""><div data-v-37a58ac8="""" class=""detail-download-qrcode""><img data-v-37a58ac8="""" src=""https://img01.51jobcdn.com/we/images/logo.png"" alt="""" class=""logo""></div><p data-v-37a58ac8="""" class=""detail-download-tip"">来App与HR沟通！</p></div></div></div></div></div></div><p data-v-0ac984f9="""" class=""info""><span data-v-0ac984f9="""" class=""sal"">1-1.5万</span><span data-v-0ac984f9="""" class=""d at""><span data-v-0ac984f9="""">佛山·南海区</span><span data-v-0ac984f9="""">|</span><span data-v-0ac984f9="""">5-7年</span><span data-v-0ac984f9="""">|</span><span data-v-0ac984f9="""">本科</span></span></p><p data-v-0ac984f9="""" class=""tags""><span data-v-0ac984f9="""" title=""商务""><i data-v-0ac984f9="""">商务</i></span><span data-v-0ac984f9="""" title=""项目管理""><i data-v-0ac984f9="""">项目管理</i></span><span data-v-0ac984f9="""" title=""英语""><i data-v-0ac984f9="""">英语</i></span><span data-v-0ac984f9="""" title=""商务谈判""><i data-v-0ac984f9="""">商务谈判</i></span><span data-v-0ac984f9="""" title=""维护客户关系""><i data-v-0ac984f9="""">维护客户关系</i></span><span data-v-0ac984f9="""" title=""产品生命周期""><i data-v-0ac984f9="""">产品生命周期</i></span><span data-v-0ac984f9="""" title=""OEM""><i data-v-0ac984f9="""">OEM</i></span><span data-v-0ac984f9="""" title=""PMP""><i data-v-0ac984f9="""">PMP</i></span><span data-v-0ac984f9="""" title=""订单管理""><i data-v-0ac984f9="""">订单管理</i></span><span data-v-0ac984f9="""" title=""免费班车""><i data-v-0ac984f9="""">免费班车</i></span><span data-v-0ac984f9="""" title=""员工旅游""><i data-v-0ac984f9="""">员工旅游</i></span><span data-v-0ac984f9="""" title=""专业培训""><i data-v-0ac984f9="""">专业培训</i></span><span data-v-0ac984f9="""" title=""定期体检""><i data-v-0ac984f9="""">定期体检</i></span><span data-v-0ac984f9="""" title=""绩效奖金""><i data-v-0ac984f9="""">绩效奖金</i></span><span data-v-0ac984f9="""" title=""年终奖金""><i data-v-0ac984f9="""">年终奖金</i></span><span data-v-0ac984f9="""" title=""购买社保""><i data-v-0ac984f9="""">购买社保</i></span><span data-v-0ac984f9="""" title=""提供食宿""><i data-v-0ac984f9="""">提供食宿</i></span></p></a><div data-v-0ac984f9="""" class=""er""><a data-v-0ac984f9="""" href=""https://jobs.51job.com/all/coCG0AZ1IwDzAAY1c8VDk.html"" target=""_blank"" title=""佛山市啟盛卫生用品有限公司"" class=""cname at"">佛山市啟盛卫生用品有限公司</a><p data-v-0ac984f9="""" class=""dc at"">民营",房地产,,岗位职责：1、负责风险管理部门整体管理和工作分配，搭建法务体系，确保工作推进有序，把控工作效果。2、不局限于法务专业视角，积极掌握相关政策法规，为公司决策事项提供参考支持专业意见。3、负责统筹规划各业务作业文本模板的最终制定并根据实际情况不断更新调整。4、根据经营实际和法律法规，统筹安排制定并监督落实各项风险管理主导的管理制度，并组织安排在公司内组好宣贯、监督落实。5、对于发生风险的业务，根据实际情况，统筹风险管理部通过诉讼和非诉讼等各种有效途径和方式处置风险，维护公司合法权益。6、及时关注行业相关法律和政策动态，掌握相关信息，并用于对照并指导公司相关业务模式，确保外部合规。对公司内部行为是否符合公司企业文化和制度进行监督，做好内部合规管理。岗位要求：1、本科以上学历，持有法律职业资格证书。2、8年以上工作经验，其中5年同行业（金融或类金融）法务工作经验，5年团队管理经验知识/技能扎实的法律基础，特别是公司法以及相关商事法规的熟练掌握和灵活运用。3、有较为丰富且实用的独立利用诉讼或非诉讼方式处理法律问题的能力。4、抗压能力强，能够快速学习新事物，能够在多项不同类别工作任务并存下保持良好作业能力。5、能够对部门工作进行合理规划并监督实施，能够提高部门协作能力、工作能力。",民营  |  少于50人
网络管理 -猛士科技,东风汽车集团股份有限公司,1.5-2.5万,,,,03-07发布,50-150人,东风汽车集团股份有限公司,国企,汽车,,,国企  |  10000人以上
管理培训生（生产和质量管理）,浙江银瑜新材料股份有限公司,6-7千,宁波-镇海区,本科,无需经验,03-07发布,1000-5000人,管理,民营,服装/纺织/皮革,,,民营  |  150-500人
财经BP（管理会计）,广东中泰工业科技股份有限公司,7千-1万,九江,本科,5-7年经验,03-07发布,50-150人,财务,民营,汽车,,"岗位职责：1、经营预算（管报）与控制：预算规则、核算规则优化，执行月度经营预算编制、目标基线管理，过程监控；执行库存控制、项目毛利率控制、可控费用控制。2、商务管理,价格控制，合同管理，开票与收款管理。3、经营分析与改善（管报）：执行经营目标与实际差距分析、行业分析、历史同期分析，针对根因问题提出改善措施，确保经营数据准确率，提升业务项目毛利率。4、业财流程一体建设与执行稽查：深入业务流程，找出与财务流程差距，执行业务过程的监督检查。任职要求：1、会计、财务、统计大学本科，具有中/大型五金制造业财务工作经历；2、6年以上财务相关工作经验，30岁以下；",民营  |  1000-5000人
空调现场施工管理员,广东羊城水电设备工程有限公司,0.8-1万,广州-天河区,中技/中专,2年经验,03-07发布,少于50人,现场管理,民营,建筑/建材/工程,,,民营  |  50-150人
分公司房地产评估管理人员,深圳市鹏信资产评估土地房地产估价有限公司,8-15万/年,深圳-福田区,大专,2年经验,03-07发布,50-150人,周末双休,已上市,中介服务,,1、专科及以上相关学历（含房地产相关专业、土地资源管理、会计学、经济学等经济类专业）；2、热爱评估行业，具有一定的人格修养和专业素质，良好的沟通技能和服务态度；3、诚实守信，吃苦耐劳，有责任心，工作细致认真，有良好的工作沟通协调能力；4、服从安排，有较高的团队协作精神、责任感，能按规定时间和质量完成本职工作；5、熟练使用计算机及办公软件。6、有3年左右相关工作经验者优先，具有评估报告审核经验者优先。,民营  |  150-500人
金融管理培训生,中国人寿保险股份有限公司天津市分公司,4.5-6千,天津-河西区,大专,无需经验,03-07发布,50-150人,保险,外资（非欧美）,保险,,,民营  
项目管理,佛山市啟盛卫生用品有限公司,1-1.5万,佛山-南海区,本科,5-7年经验,03-07发布,500-1000人,商务,国企,快速消费品(食品、饮料、化妆品),,岗位职责：1、负责客户新项目的整体把控和规划，组织参与新项目风险评估、新品试样、产品验证等；2、负责订单整理管理和跟进，不定期组织内部会议传达客户要求，协调内部资源满足客户交付目标；3、负责商务以及项目相关事务的沟通洽谈；4、负责客户接待，与客户保持良好的沟通，了解客户需求和要求，维护客户关系。任职条件：1、***本科及以上学历（优秀者可放宽至大专），英语相关专业，英语4级以上；2、具备较强的沟通协调能力和商务谈判能力，积极主动完成各项工作任务；3、具备较强的业务学习与分析能力，富于工作责任心，逻辑思维能力强；4、具有项目管理经验，有卫生用品及相关行业经验者优先。,民营  |  1000-5000人
绩效及人力资源配置管理,上海临港浦江国际科技城发展有限公司,15-25万/年,上海-闵行区,本科,2年经验,03-07发布,1000-5000人,五险一金,已上市,房地产,,岗位职责：1、修订完善公司绩效管理制度，实施公司绩效考核工作；2、结合市场化绩效激励模式，制定公司绩效考核及激励方案；3、及时跟踪了解各部门重点工作进展情况，定期向领导汇报，并提出有关改进建议；4、对公司人力资源优化配置提出合理化建议；5、建立后备人才选拔方案和人才储备机制；6、完成领导安排的其他工作任务。任职资格：1、本科及以上学历，管理类相关专业；2、熟悉各种绩效评价方法，绩效管理流程，具备2年以上市场化绩效激励管理经验；3、具备较强的沟通协调能力；4、具备一定写作能力，善于撰写各类绩效激励方案。,国企  |  50-150人
护工管理员（第九人民医院黄埔分院）,上海擎浩医院管理有限公司,4-8千,上海,大专,无需经验,03-07发布,少于50人,现场管理,合资,医疗/护理/卫生,,工作描述：1、对接医院护士长或办公室主任、安排下面工作，派工、派单、收款等工作；2、能很好地衔接各部门进行协作；3、医院护工现场管理工作；4、处理解决突发事情及汇报工作。任职要求：1、大专以上学历、30岁以上；2、具备较强的执行能力、沟通协调能力；3、具备良好的服务意识与团队协作精神；4、熟练操作计算机及办公软件。,民营  |  1000-5000人
仓库管理员（闵行仓向阳路）,上海泛航医疗供应链管理有限公司,3-4.5千,上海,中技/中专,1年经验,03-07发布,500-1000人,周末双休,外资（欧美）,医疗设备/器械,,,民营  |  50-150人
企业管理咨询顾问（商务）,深圳市拓普理德企业管理顾问有限公司,1-1.8万,深圳-南山区,大专,5-7年经验,03-07发布,150-500人,五险一金,国企,计算机软件,,【关于我们】拓普理德1999年成立23年深耕培训咨询行业中国培训业十大专业品牌深圳市企业联合会常务理事单位聚焦于企业组织发展，帮助企业打造专业人才梯队辅导企业5000+，企业高管职业经理5万+，与企业建立长期合作关系，开创一站式服务模式，致力于帮助中国民营企业持续成长，创新发展。主营业务：企业咨询、企业内训、总裁、高管领导力训练营，投融资服务。拓普理德企业文化使命：聚焦组织发展与人才一体化培养，帮助企业可持续成长与创新发展愿景：做中国专业、具影响力、实践领导力训练.咨询机构价值观：诚信务实，激情奋斗，创新进取，严谨专业，用心为客户创造价值【工作内容】负责客户洽谈，商务合作谈判，具备市场开拓渠道开发能力；负责客户企业运营诊断及提供对应的解决方案；善于挖掘客户需求，并结合客户需求提供专业服务，对业绩指标负责；定期维护客情关系，不断提升服务满意度，确保服务的长期可持续关系；【我们需要的人才】大专及以上学历，工商管理、人力资源专业毕业；对企业经营管理有一定认识和理解，能做基础的企业诊断；性格开朗，逻辑思维能力强；3年以上企业培训咨询行业从业经验者优先，；具备良好的商务谈判合作经验；具有行业资源者优先；【你的收获】学习机会：海量专业管理课程学习机会、与管理专家学习交流机会；人脉资源：结识行业大咖、高质量客户群体；【工作时间】上午9：30~12：00，下午13：30~18：00；周末***制；【福利待遇】薪资结构：基本工资+绩效奖金+高提成+补贴+年终奖金；员工享有社会保险福利；假期福利：员工享有带薪年假，国家法定节假日；高端培训：在职员工优先参加公司举办的高端技能课程培训，支持员工进修；晋升职业规划：公司拥有良好晋升机制，职业规划和公平公正的人才竞争发展平台；公司关怀福利：健康体检，生日礼物，司龄礼金，结婚生育礼金，父母关怀礼品；员工活动：员工聚餐、旅游活动、定期举办团建活动等。,民营  |  少于50人
质量管理部经理,四川兴科蓉药业有限责任公司,7-9千,海口-秀英区,本科,3-4年经验,03-07发布,50-150人,五险一金,民营,制药/生物工程,,岗位职责：1、组织制订、审核、修订质量管理体系文件，并指导和监督文件的执行。2、负责建立健全的质量管理体系的制度与流程，经集团/公司批准后组织实施，及时开展相关的培训、检查，确保企业活动规范要求。3、保证各项规章制度和操作规程有效实施，确保各项工作开展环节符合国家GSP要求，做好关键点控制和记录。4、负责日常质量检查计划的编制与组织实施。5、协助质量管理体系的内审和风险管理工作。6、负责质量信息的收集和分析。7、承担产品质量安全管理和产品放行职责，确保质量管理体系有效运行。任职要求1、本科以上学历，药学、生物、化学等相关专业，具有执业药师资格证；2、具有3年以上从事药品质量经营管理工作经验；3、熟悉相关法律法规、药品专业知识及技能、质量管理制度、职责及岗位操作规程等，能独立完成药品质量管理相关文件的撰写；4、有一定的问题分析能力，能对常见质量管理问题独立作出正确判断。5、熟悉药品质量管理的所有环节，独立开展组织GSP认证，对GSP的管理要求能熟悉掌握并运用。6、有一定的沟通协调能力，熟悉计算机日常办公word、excel等软件的应用操作；,已上市  |  50-150人
资源管理专员,上海创凌翻译服务有限公司,6千-1.2万,上海-虹口区,本科,2年经验,03-07发布,1000-5000人,上海创凌翻译服务有限公司,已上市,文字媒体/出版,,,外资（非欧美）  |  50-150人
药品质量管理员,深圳市卫光生物制品股份有限公司,9千-1.3万,深圳-光明区,本科,3-4年经验,03-07发布,少于50人,专业培训,民营,制药/生物工程,,岗位职责：1、负责总公司浆站管理制度文件体系建设、维护以及执行；2、负责指导协助浆站质量体系文件建设、维护、完善；负责浆站审计、专项检查；3、负责组织协调浆站验证工作，指导验证执行；4、负责和总公司相关的浆站偏差、变更事件的处理；5、负责组织浆站法规培训、学习；6、负责浆站行业管理情况的了解，法规趋势的收集，及时指导浆站完善优化管理等。任职要求：1、生物或医药类相关专业，本科以上学历；2、2年以上制药行业质量管理相关工作经验；3、良好的沟通协调能力和团队合作精神；愿意出差，吃苦耐劳，积极乐观。,国企  |  500-1000人
市场主任（项目管理）,东莞凤岗嘉辉塑胶五金有限公司,9千-1.2万·13薪,东莞,大专,3-4年经验,03-07发布,5000-10000人,项目管理,国企,办公用品及设备,,"岗位职责：1、提供客户服务予潜在客户并与现有客户维持良好关系；2、跟进统筹客户产品需求信息；3、处理客户有关产品查询及报价，处理成本分析。4、负责各项新项目导入工作，跟进项目计划与进度确保项目顺利完成。岗位要求：1、大专或以上，市场营销、工程、商业管理优先；2、3-5以上年五金，塑胶相关产品制造业工作经验，具项目管理跟进经验；3、MSOffice(Word,Excel,Access)熟练；4、英文听说读写熟练；5、具备良好的沟通协调能力，组织应变能力",已上市  |  1000-5000人
